gene	log2FC	pvalue	padjs
Gx60082	0.203	0.812	0.812
Gx15500	0.439	0.464	0.464
Gx79296	-0.035	0.805	0.805
Gx75017	-0.355	0.0801	0.0801
Gx40346	-0.05	0.593	0.593
Gx84154	0.367	0.136	0.136
Viren	1.536	0.0112	0.0112
Pavon	-0.046	0.652	0.652
Gx11741	0.017	0.727	0.727
Gx27462	-0.007	0.901	0.901
Gx99549	0.015	0.78	0.78
Gx66387	0.139	0.0914	0.0914
Gx99039	-0.095	0.218	0.218
Gx37618	0.076	0.138	0.138
Gx16504	0.135	0.0533	0.0533
Gx33143	0.042	0.523	0.523
Gx36590	-0.088	0.234	0.234
Gx81132	0.631	0.061	0.061
Gx42911	-0.109	0.176	0.176
Gx73789	-0.049	0.343	0.343
Gx97498	0.076	0.182	0.182
Gx50606	-0.042	0.405	0.405
Gx71066	0.001	0.99	0.99
Gx24168	-0.019	0.822	0.822
Gx44824	0.025	0.689	0.689
Gx65874	-0.177	0.124	0.124
Gx19859	0.09	0.237	0.237
Gx33218	0.084	0.181	0.181
Gx97799	-0.028	0.647	0.647
Gx53861	-0.128	0.665	0.665
Gx62170	0.082	0.274	0.274
Gx52886	0.024	0.688	0.688
Gx94393	0.048	0.336	0.336
Gx32570	0.005	0.939	0.939
Gx72058	-0.069	0.386	0.386
Gx49967	0.047	0.602	0.602
Gx45019	-0.073	0.766	0.766
Gx14645	-0.086	0.175	0.175
Gx74506	0.283	0.254	0.254
Gx30868	-0.054	0.338	0.338
Gx34933	0.007	0.906	0.906
Gx58877	0.06	0.611	0.611
Gx78122	-0.025	0.682	0.682
Gx59540	0.007	0.877	0.877
Gx13358	0.13	0.338	0.338
Gx84300	0.04	0.765	0.765
Gx68078	-0.138	0.133	0.133
Gx86584	-0.078	0.138	0.138
Gx41262	-0.299	0.138	0.138
Gx28921	0.204	0.263	0.263
Gx85490	-0.116	0.18	0.18
Gx96488	0.006	0.982	0.982
Gx10634	0.013	0.791	0.791
Gx81594	-0.041	0.829	0.829
Gx82660	-0.239	0.00808	0.00808
Gx64176	0.108	0.0913	0.0913
Gx91999	-0.388	0.0835	0.0835
Gx94201	0.735	0.0458	0.0458
Gx10053	-0.033	0.527	0.527
Gx49868	-0.187	0.171	0.171
Gx48669	0.056	0.248	0.248
Gx23087	0.367	0.0119	0.0119
Gx73674	0.02	0.693	0.693
